Country,Features,Region,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Comoros,distribution losses ,Africa,0.00063,0.0007,0.0007,0.00077,0.00084,0.00098,0.00098,0.00098,0.00098,0.00112,0.00105,0.00105,0.00105,0.00105,0.00105,0.00105,0.00112,0.00112,0.00119,0.00119,0.008062,0.008618,0.009174,0.00973,0.012204,0.013204,0.013927,0.01301,0.011954,0.012899,0.01768,0.015957,0.016235,0.015595,0.014594,0.014706,0.016235,0.025258,0.027364,0.03012,0.035,0.036505214
Congo-Brazzaville,distribution losses ,Africa,0.014,0.02,0.024,0.096,0.036,0.146,0.027,0.039,0.066,0.071,0.097,0.09,0.092,0.113,0.083,0.11,0.124,0.121,0.143,0.091,0.259,0.294,0.378,0.367,0.431,0.426,0.393,0.37,0.354,0.379,0.466,0.671,0.757,0.814,0.827,1.234,1.362,1.324,1.384,1.623,1.713,1.807285714
Congo-Kinshasa,distribution losses ,Africa,0.37,0.552,0.566,0.596,0.591,0.597,0.599,0.606,0.55,0.732,1.116,0.725,0.576,0.201,0.205,0.207,0.185,0.188,0.19,0.2,0.177,0.162,0.329,0.2,1.012,0.834,0.477,0.382,0.824,0.384,0.392,0.561,0.43,0.466,1.895,1.26,1.216,1.443,1.291,2.141,2.31,2.31
Cook Islands,distribution losses ,Asia & Oceania,0.0007,0.00077,0.0007,0.00063,0.0007,0.00077,0.00084,0.00091,0.00091,0.00098,0.00105,0.00105,0.001057,0.001057,0.001057,0.001337,0.001337,0.001337,0.001337,0.001477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.003,0.003
Costa Rica,distribution losses ,Central & South America,0.263,0.204,0.285,0.2,0.232,0.198,0.265,0.121,0.266,0.281,0.287,0.292,0.318,0.344,0.377,0.368,0.386,0.42,0.425,0.474,0.473,0.5,0.715,0.53,0.881,0.895,0.865,0.908,0.973,0.986,0.97,1.06,1.083,1.083,1.106,1.161,1.042,1.006853,1.036134,1.058951,1.042954,1.05187
Cote d'Ivoire,distribution losses ,Africa,0.28,0.302,0.312,0.31,0.239,0.285,0.298,0.348,0.37,0.352,0.364,0.349,0.373,0.365,0.383,0.477,0.452,0.477,0.514,0.707,0.699,0.658,0.685,0.691,0.985,1.132,1.182,1.272,1.365,1.365,1.204,1.365,1.366,1.68,1.187,1.744,2.098,1.627,1.874,1.956,1.737,1.737
Croatia,distribution losses ,Europe,,,,,,,,,,,,,1.487,1.48,1.584,1.66,1.908,1.794,2.314,2.059,2.036,2.461,2.077,2.543,2.224,2.131,1.909,2.026,1.706,2.019,2.022,1.831,1.887,1.944,1.764,1.802,1.807,1.765,1.824,1.659,1.725,1.787671057
Cuba,distribution losses ,Central & South America,0.766,0.833,1.054,1.418,1.498,1.578,1.734,1.845,2.106,2.285,2.177,2.052,1.827,1.937,2.227,2.449,2.576,2.714,2.608,2.515,2.371,2.372,2.426,2.409,2.411,2.334,2.649,2.97,2.808,2.749,2.768,2.787,2.902,2.943,2.961,3.135,3.117,3.177,3.2896,3.429,3.427,3.482571429
Cyprus,distribution losses ,Europe,0.064,0.07,0.081,0.072,0.075,0.076,0.089,0.09,0.107,0.107,0.111,0.134,0.158,0.13,0.125,0.115,0.149,0.173,0.176,0.196,0.188,0.233,0.167,0.159,0.213,0.164,0.221,0.215,0.153,0.189,0.22,0.16,0.137,0.186,0.173,0.215,0.263,0.228,0.158187,0.184,0.24,0.218524434
Czechia,distribution losses ,Europe,,,,,,,,,,,,,,4.793,4.66,4.768,5.154,5.088,4.953,4.921,4.956,4.91,4.858,5.087,5.084,5.027,4.885,4.915,4.662,4.487,4.465999,4.405,4.187,4.097999,3.847,4.066999,4.08,4.374745,4.2693832,4.2999692,4.117,3.651
